hyphenated,corrected
admini-stration,administration
adminis-tration,administration
adminis-trative,administrative
Alterna-tive,Alternative
appro-priations,appropriations
Assoc-iate's,Associate's
Bac-calaur-eate,Baccalaureate
Baccalaure-ate,Baccalaureate
Bache-lor's,Bachelor's
Com-bined,Combined
con-trol,control
coordi-nators,coordinators
counsel-ors,counselors
de-grees,degrees
Dis-tant,Distant
dis-tricts,districts
Doc-tor's,Doctor's
Doc-toral,Doctoral
educa-tion,education
Elemen-tary,Elementary
enroll-ment,enrollment
Enter-prise,Enterprise
enter-prises,enterprises
ethnic-ities,ethnicities
expen-ditures,expenditures
expendi-ture,expenditure 
His-panic,Hispanic
In-terest,Interest
Indepen-dent,Independent
insti-tutions,institutions
institu-tion,institution
Instruc-tion ,Instruction 
Instruc-tional,Instructional
Islan-der,Islander
Kinder-garten,Kindergarten
Librar-ians,Librarians
main-tenance,maintenance
Mas-ter's,Master's 
Mid-size,Midsize
Nonresi-dent,Nonresident
opera-tions,operations
out-lay,outlay
Per-cent ,Percent 
per-centile,percentile
per-manent,permanent
Pre-kindergarten,Prekindergarten
Prekin-dergar-ten,Prekindergarten
Prekin-dergarten,Prekindergarten
Prekinder-garten,Prekindergarten
Profes-sor,Professor
Re-mote,Remote
resi-dent,resident
Secon-dary ,Secondary
Second-ary,Secondary
ser-vice,service
Stu-dents,Students
sup-port,support
transpor-tation,transportation
univer-sity,university
